geo_id;country_id;region_id;timezone_id
6447;c31b4e;470e75;f6155e
8730;a0a6e9;;d816ca
7769;e878d4;;ec4385
7330;c31b4e;23f9c2;f6155e
600;c31b4e;6dbc37;e56e80
1794;c31b4e;501fb0;e56e80
4500;c31b4e;74ebb5;b72333
4990;10879dd;;127805c
9519;eba88b;6c6dd9;fb36b2
8561;af12ca;660d08;992ebe
6213;12c1ffb;;999685
2724;af12ca;290508;992ebe
3632;eba88b;19bf7a;10b11be
9438;c31b4e;21d92d;f6155e
6078;c31b4e;607a45;e56e80
9417;d52aa3;;cdd035
9916;b67414;;c8e1b1
3718;c31b4e;24389d;e56e80
790;eba88b;869d02;10b11be
6248;9bd92f;;100cd5d
5231;1234f1d;7e45da;fd4ddf
9214;c31b4e;470e75;f6155e
2935;c31b4e;1fbfa5;e56e80
878;ac5671;324936;b017ac
7980;b98648;5ee5a3;ad8d84
4840;a3e6e6;;da7cee
4253;1234f1d;781fdd;1054b86
4563;c31b4e;501fb0;e56e80
1514;c8b38a;;ae438f
1634;c31b4e;33ed7a;10b7947
4129;c31b4e;44be29;e56e80
9492;eba88b;102f73;f55fca
883;1234f1d;8c47f1;fd4ddf
8800;c31b4e;61050e;e56e80
1988;f9129d;;d20730
6109;fb5b6a;;127c7c9
5146;c31b4e;3c9dca;e56e80
6468;e59127;;be51be
7178;ac5671;33ffc7;b017ac
8150;e37756;122b1b;e3abc2
6153;c31b4e;88d31e;ef97a6
3583;c31b4e;7bb66a;e56e80
5444;121db33;4e3184;ac9429
8651;c31b4e;1b18a1;e56e80
742;11d7940;;10d70de
6142;c31b4e;6dbc37;e56e80
2866;c31b4e;247d24;f6155e
2079;c31b4e;6eb017;e56e80
4566;c31b4e;36e3f3;f6155e
1766;c31b4e;8ccc01;e56e80
6916;c31b4e;52b73e;e56e80
2084;121db33;1fb83f;ac9429
3672;c31b4e;229b54;e56e80
6235;d838af;;110eb82
6327;ee09b3;;c5c1c4
4791;af12ca;21e52f;992ebe
1912;103bf7d;672fce;d93ac7
2436;10d5df1;;cc5d9f
4019;f93722;;e83885
2339;1075e95;;11fe92f
3996;c31b4e;380ef0;e56e80
9233;cb82fc;;dea15c
8664;c31b4e;393070;caf0e9
5896;eba88b;77d899;10b11be
7261;c31b4e;97023a;e56e80
4717;b6e9d6;;d7f50c
3962;1234f1d;2819c1;d903ee
5935;1234f1d;4f591b;fd4ddf
7731;af12ca;8f6a85;1041045
9907;1234f1d;3fddc5;1054b86
7998;c31b4e;908bcb;e7021b
8200;c31b4e;6b4b8f;df194e
4522;1075e95;;11fe92f
7490;c31b4e;229b54;e56e80
5475;f9129d;;d20730
4225;c31b4e;23f9c2;f6155e
7501;11ccab3;;eaae8d
1181;eba88b;8161cb;cde24c
852;c31b4e;28d2d6;e56e80
778;c31b4e;74ebb5;b72333
9020;af12ca;3a5545;124b6f2
8965;eba88b;6c6dd9;fb36b2
5996;1075e95;;11fe92f
9992;1234f1d;12299b;d903ee
7593;128934f;;9a7241
3554;103bf7d;26f66d;10a9e23
9112;c31b4e;607a45;e56e80
1945;c31b4e;36e3f3;f6155e
8162;c31b4e;36e3f3;f6155e
1442;eba88b;801fe9;10b11be
5193;c31b4e;97023a;e56e80
7416;128934f;;9a7241
5972;121852c;;aab14a
4509;1234f1d;239fcc;d903ee
7042;bcbd63;;1118830
5234;c31b4e;229b54;e56e80
941;c31b4e;37246e;b4a275
8000;c31b4e;2d97a6;dd8d07
9307;c31b4e;23f9c2;f6155e
4863;c31b4e;776e76;10b7947
8610;c31b4e;245864;e56e80
114;c31b4e;659569;e56e80
9861;c31b4e;8ccc01;e56e80
9570;c31b4e;7bb66a;e56e80
715;d52aa3;;ed413a
8358;121db33;833b83;ac9429
943;121852c;;aab14a
3468;c31b4e;6dbc37;e56e80
4935;c31b4e;3f774e;f6155e
4131;1234f1d;2819c1;d903ee
4254;c31b4e;2dda09;ced83d
1345;eba88b;890b8c;cde24c
1303;c31b4e;f66ff;f6155e
3233;c31b4e;f66ff;f6155e
8458;1234f1d;56bb94;fd4ddf
4917;c31b4e;23f9c2;f6155e
153;11d9ebe;;ac94f8
8240;ee09b3;;c5c1c4
944;c31b4e;200d3c;e56e80
6302;128934f;;9a7241
3717;9d939d;;d9b5b2
1856;ac5671;33ffc7;b017ac
777;c31b4e;501fb0;e56e80
5668;a164b2;;1089fdd
7207;c31b4e;71cac2;e56e80
4273;c31b4e;7c6a57;e56e80
3488;1234f1d;56bb94;fd4ddf
3305;c31b4e;74ebb5;b72333
9781;c31b4e;4653ce;1304d52
4211;c31b4e;626fb3;e56e80
5991;11c6cd6;;12f5b0f
7083;c31b4e;393070;caf0e9
9943;c31b4e;1326d0;e56e80
7517;121db33;2e3fbd;ac9429
926;c31b4e;6398c6;e56e80
5023;c31b4e;978f9b;e56e80
8181;b7e8f4;;11dacec
9058;c31b4e;71cac2;e56e80
123;c31b4e;247d24;f6155e
1086;128934f;;9a7241
7200;c31b4e;52b73e;e56e80
7528;f9129d;;a94bd3
5250;1234f1d;779ac8;1054b86
2661;e878d4;;ec4385
504;1234f1d;8e6ae0;1054b86
8276;128934f;;9a7241
8976;e46641;;d48c78
4109;c31b4e;380ef0;e56e80
9137;1234f1d;4f591b;fd4ddf
5524;c31b4e;393070;caf0e9
6154;1252eca;;c06f07
3894;1234f1d;779ac8;1054b86
2071;1017101;;12c06d9
2342;c31b4e;23f9c2;f6155e
5172;121852c;;aab14a
1056;1234f1d;501002;fd4ddf
1497;c31b4e;6b4b8f;df194e
1764;c31b4e;245864;e56e80
7275;c31b4e;8ccc01;e56e80
4170;aaf8e3;;d20b74
2727;1288e6e;;f1a3bc
6513;eba88b;371f98;abea49
4250;1234f1d;3cc8d2;fd4ddf
91;aad375;;106c414
9364;c31b4e;895e40;109a080
9053;eba88b;59c467;abea49
9388;e42b42;;cc268e
4304;fbf527;;f16f9d
5076;a8e281;;9d9c67
6065;128934f;;9a7241
3834;10dee64;;cdb1d7
8141;b6efef;;ac2b21
3781;c31b4e;786893;e56e80
7002;c31b4e;312724;115b511
9129;f93766;;fac7eb
8582;c31b4e;54fad0;e56e80
5377;1067b1a;;98f873
9370;9bd92f;;100cd5d
133;11c9321;;d78799
5440;1016727;;f91be1
8046;c31b4e;6de952;be683c
6134;ac5671;84f51b;b017ac
3303;9bbbd5;;1037572
4081;c31b4e;65517e;c65773
7641;af12ca;2ed96a;992ebe
5938;1234f1d;15a554;d903ee
1244;c31b4e;1b18a1;e56e80
6207;9f04b0;;e38b8d
2914;c31b4e;2f1b83;c1ffd0
2873;c31b4e;245864;e56e80
4148;c31b4e;24389d;e56e80
